sep=;
Tahun;Bulan;Minggu;Unit Kerja;Program;Mitra;Nominal;Catatan
2026;9;I;Abepura;KDP;Askrindo;;
2026;9;II;Abepura;KDP;Askrindo;;
2026;9;III;Abepura;KDP;Askrindo;;
2026;9;IV;Abepura;KDP;Askrindo;;
2026;9;I;Abepura;KDP;Jamkrindo;;
2026;9;II;Abepura;KDP;Jamkrindo;;
2026;9;III;Abepura;KDP;Jamkrindo;;
2026;9;IV;Abepura;KDP;Jamkrindo;;
2026;9;I;Abepura;KDP;BSM A3M;;
2026;9;II;Abepura;KDP;BSM A3M;;
2026;9;III;Abepura;KDP;BSM A3M;;
2026;9;IV;Abepura;KDP;BSM A3M;;
2026;9;I;Abepura;KDP;BRINS FLPP;;
2026;9;II;Abepura;KDP;BRINS FLPP;;
2026;9;III;Abepura;KDP;BRINS FLPP;;
2026;9;IV;Abepura;KDP;BRINS FLPP;;
2026;9;I;Biak;KDP;Askrindo;;
2026;9;II;Biak;KDP;Askrindo;;
2026;9;III;Biak;KDP;Askrindo;;
2026;9;IV;Biak;KDP;Askrindo;;
2026;9;I;Biak;KDP;Jamkrindo;;
2026;9;II;Biak;KDP;Jamkrindo;;
2026;9;III;Biak;KDP;Jamkrindo;;
2026;9;IV;Biak;KDP;Jamkrindo;;
2026;9;I;Biak;KDP;BSM A3M;;
2026;9;II;Biak;KDP;BSM A3M;;
2026;9;III;Biak;KDP;BSM A3M;;
2026;9;IV;Biak;KDP;BSM A3M;;
2026;9;I;Biak;KDP;BRINS FLPP;;
2026;9;II;Biak;KDP;BRINS FLPP;;
2026;9;III;Biak;KDP;BRINS FLPP;;
2026;9;IV;Biak;KDP;BRINS FLPP;;
2026;9;I;Bintuni;KDP;Askrindo;;
2026;9;II;Bintuni;KDP;Askrindo;;
2026;9;III;Bintuni;KDP;Askrindo;;
2026;9;IV;Bintuni;KDP;Askrindo;;
2026;9;I;Bintuni;KDP;Jamkrindo;;
2026;9;II;Bintuni;KDP;Jamkrindo;;
2026;9;III;Bintuni;KDP;Jamkrindo;;
2026;9;IV;Bintuni;KDP;Jamkrindo;;
2026;9;I;Bintuni;KDP;BSM A3M;;
2026;9;II;Bintuni;KDP;BSM A3M;;
2026;9;III;Bintuni;KDP;BSM A3M;;
2026;9;IV;Bintuni;KDP;BSM A3M;;
2026;9;I;Bintuni;KDP;BRINS FLPP;;
2026;9;II;Bintuni;KDP;BRINS FLPP;;
2026;9;III;Bintuni;KDP;BRINS FLPP;;
2026;9;IV;Bintuni;KDP;BRINS FLPP;;
2026;9;I;Fak Fak;KDP;Askrindo;;
2026;9;II;Fak Fak;KDP;Askrindo;;
2026;9;III;Fak Fak;KDP;Askrindo;;
2026;9;IV;Fak Fak;KDP;Askrindo;;
2026;9;I;Fak Fak;KDP;Jamkrindo;;
2026;9;II;Fak Fak;KDP;Jamkrindo;;
2026;9;III;Fak Fak;KDP;Jamkrindo;;
2026;9;IV;Fak Fak;KDP;Jamkrindo;;
2026;9;I;Fak Fak;KDP;BSM A3M;;
2026;9;II;Fak Fak;KDP;BSM A3M;;
2026;9;III;Fak Fak;KDP;BSM A3M;;
2026;9;IV;Fak Fak;KDP;BSM A3M;;
2026;9;I;Fak Fak;KDP;BRINS FLPP;;
2026;9;II;Fak Fak;KDP;BRINS FLPP;;
2026;9;III;Fak Fak;KDP;BRINS FLPP;;
2026;9;IV;Fak Fak;KDP;BRINS FLPP;;
2026;9;I;Jayapura;KDP;Askrindo;;
2026;9;II;Jayapura;KDP;Askrindo;;
2026;9;III;Jayapura;KDP;Askrindo;;
2026;9;IV;Jayapura;KDP;Askrindo;;
2026;9;I;Jayapura;KDP;Jamkrindo;;
2026;9;II;Jayapura;KDP;Jamkrindo;;
2026;9;III;Jayapura;KDP;Jamkrindo;;
2026;9;IV;Jayapura;KDP;Jamkrindo;;
2026;9;I;Jayapura;KDP;BSM A3M;;
2026;9;II;Jayapura;KDP;BSM A3M;;
2026;9;III;Jayapura;KDP;BSM A3M;;
2026;9;IV;Jayapura;KDP;BSM A3M;;
2026;9;I;Jayapura;KDP;BRINS FLPP;;
2026;9;II;Jayapura;KDP;BRINS FLPP;;
2026;9;III;Jayapura;KDP;BRINS FLPP;;
2026;9;IV;Jayapura;KDP;BRINS FLPP;;
2026;9;I;Manokwari;KDP;Askrindo;;
2026;9;II;Manokwari;KDP;Askrindo;;
2026;9;III;Manokwari;KDP;Askrindo;;
2026;9;IV;Manokwari;KDP;Askrindo;;
2026;9;I;Manokwari;KDP;Jamkrindo;;
2026;9;II;Manokwari;KDP;Jamkrindo;;
2026;9;III;Manokwari;KDP;Jamkrindo;;
2026;9;IV;Manokwari;KDP;Jamkrindo;;
2026;9;I;Manokwari;KDP;BSM A3M;;
2026;9;II;Manokwari;KDP;BSM A3M;;
2026;9;III;Manokwari;KDP;BSM A3M;;
2026;9;IV;Manokwari;KDP;BSM A3M;;
2026;9;I;Manokwari;KDP;BRINS FLPP;;
